USAF,WBAN,STATION NAME,CTRY,CALL,LAT,LON,ELEV_M,BEGIN,END
712550,99999, MILDRED LAKE ALTA, CA, CWMX,57.033,-111.55,310,19940101,20220512
715850,99999, FORT MCMURRAY CS ALTA, CA, CXMM,56.65,-111.217,369,20010825,20240428
716890,99999, FORT MCMURRAY AIRPORT, CA, CYMM,56.65,-111.217,369.1,20050101,20240428
719320,99999, FORT MCMURRAY AWOS ARPT, CA, ,56.65,-111.217,369,19430201,20081231
719334,99999, FORT CHIPEWYAN AUTOMATED REPO, CA, ,58.77,-111.13,232,19910801,19931014
710560,99999, FORT CHIPEWYAN RCS, CA, CPCH,58.767,-111.117,238,19930701,20240428
713050,99999, FORT CHIPEWYAN, CA, ,58.767,-111.117,238,20040921,20131031
729330,99999, FORT CHIPEWYAN ARPT, CA, ,58.767,-111.117,232,19730101,19770630
712710,99999,ATHABASCA AGCM,CA,,54.633,-113.383,635,19941201,20240428
710240,99999,FORT VERMILION,CA,CXFV,58.383,-116.033,289,20030617,20240428